JOB_ID,PLATFORM,DEPARTURE_DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,MARKETING_AIRLINE,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES,DEPARTURE-DATE
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"MH710, MH2, MH9393",ECONOMY,11:10:00,13:24:00,2,"CGK, KUL, LHR, JFK",37H 14M,33369230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"SQ959, SQ26",ECONOMY,14:10:00,11:10:00,1,"CGK, SIN, JFK",32H 00M,41446153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"QR955, QR327, QR2240",ECONOMY,01:10:00,22:49:00,2,"CGK, DOH, LGW, JFK",32H 39M,37046153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"CX718, CX844",ECONOMY,08:10:00,06:00:00,1,"CGK, HKG, JFK",32H 50M,40892307.69,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"QR957, QR9, QR2235",ECONOMY,18:45:00,19:50:00,2,"CGK, DOH, LHR, JFK",36H 05M,34769230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"AF3926, AF257, AF14","PREMIUM ECONOMY, ECONOMY",15:30:00,12:40:00,2,"CGK, SIN, CDG, JFK",32H 10M,37938461.54,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"QR959, QR11, QR2233",ECONOMY,09:05:00,13:24:00,2,"CGK, DOH, LHR, JFK",39H 19M,32784615.38,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"QR957, QR329, QR2235",ECONOMY,18:45:00,19:50:00,2,"CGK, DOH, LGW, JFK",36H 05M,35030769.23,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"EK7763, EK355, EK205",ECONOMY,09:40:00,18:55:00,2,"CGK, SIN, DXB, JFK",44H 15M,30246153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"EK7763, EK355, EK205",ECONOMY,09:40:00,18:55:00,2,"CGK, SIN, DXB, JFK",44H 15M,30246153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"QR957, QR11, QR2646",ECONOMY,18:45:00,18:09:00,2,"CGK, SIN, DXB, JFK",34H 24M,36769230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"HA5373, HA822, HA50",ECONOMY,06:35:00,07:25:00,2,"CGK, NRT, HNL, JFK",35H 50M,36307692.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"QR959, QR9, QR2646",ECONOMY,09:05:00,18:09:00,2,"CGK, DOH, LHR, JFK",44H 04M,31492307.69,2023-08-09
